ref_inner_prod,ref_cityblock,ref_euclidean,ref_minkowski(5),ref_minkowski(10),ref_minkowski(50),ref_chebyshev,ref_mahalanobis,x1,y1,x2,y2,near_origin,left_or_right,top_or_bottom,quadrant,scaling_or_shearing
-1.6648078702,-1.0857469611,-0.9170277342,-0.7988734075,-0.7639413722,-0.7398545281,-0.7357409961,-0.9170277342,90,-30,90,30,0,across_sides,top,across_quadrants,vertical
0.3215479107,-0.2454268315,0.2288081022,0.4711392371,0.5179976457,0.5437881682,0.5482391356,0.2288081022,90,-30,-30,-30,0,left,across_verticals,across_quadrants,horizontal
-0.0757232455,-0.2454268315,-0.2511380368,-0.162301743,-0.1229686068,-0.09803318,-0.0937509303,-0.2511380368,90,-30,0,0,1,across_sides,across_verticals,across_quadrants,left_diagonal
-0.4729944017,-0.2454268315,-0.4424069905,-0.6100246165,-0.6719321701,-0.7219355438,-0.7357409961,-0.4424069905,90,-30,30,30,0,across_sides,top,across_quadrants,left_diagonal
-0.1088291752,-0.315453509,-0.2790319081,-0.163237391,-0.1229713373,-0.09803318,-0.0937509303,-0.2790319081,90,-30,0,-5,1,left,across_verticals,across_quadrants,left_diagonal
-1.2675367141,-0.2454268315,0.2288081022,0.4711392371,0.5179976457,0.5437881682,0.5482391356,0.2288081022,90,-30,90,90,0,across_sides,top,across_quadrants,vertical
-0.0757232455,0.5948932981,0.4993032507,0.4868195969,0.5182479144,0.5437881682,0.5482391356,0.4993032507,90,-30,-30,-90,0,left,across_verticals,across_quadrants,left_diagonal
-1.2675367141,-0.2454268315,-0.4424069905,-0.6100246165,-0.6719321701,-0.7219355438,-0.7357409961,-0.4424069905,90,-30,30,-90,0,left,top,II,left_diagonal
1.5133613792,0.5948932981,1.3746439387,1.7411518817,1.7999366635,1.8274308644,1.8322192673,1.3746439387,90,-30,-90,-30,0,left,across_verticals,across_quadrants,horizontal
2.3079036916,2.2755335572,2.0685062909,1.8365954369,1.8065544186,1.8274308646,1.8322192673,2.0685062909,90,-30,-90,90,0,across_sides,across_verticals,across_quadrants,left_diagonal
-0.8702655579,-1.0857469611,-0.9170277342,-0.7988734075,-0.7639413722,-0.7398545281,-0.7357409961,-0.9170277342,90,-30,30,-30,0,left,top,II,horizontal
0.0235945435,-0.175400154,-0.1603121289,-0.0567712954,-0.01614161,0.0089370447,0.0132474141,-0.1603121289,90,-30,-5,0,1,across_sides,across_verticals,across_quadrants,left_diagonal
1.116090223,1.4352134277,1.1780495896,0.8488368192,0.7020160498,0.5796261367,0.5482391356,1.1780495896,90,-30,-30,90,0,across_sides,across_verticals,across_quadrants,left_diagonal
-0.0426173158,-0.175400154,-0.2187164251,-0.1604901923,-0.1229566508,-0.09803318,-0.0937509303,-0.2187164251,90,-30,0,5,1,across_sides,across_verticals,across_quadrants,left_diagonal
0.7188190668,0.5948932981,0.4993032507,0.4868195969,0.5182479144,0.5437881682,0.5482391356,0.4993032507,90,-30,-30,30,0,across_sides,across_verticals,across_quadrants,left_diagonal
-2.4593501826,-1.0857469611,-0.9170277342,-0.7988734075,-0.7639413722,-0.7398545281,-0.7357409961,-0.9170277342,90,-30,90,-90,0,left,top,II,vertical
1.9106325354,1.4352134277,1.5605874971,1.7442825662,1.7999431764,1.8274308644,1.8322192673,1.5605874971,90,-30,-90,30,0,across_sides,across_verticals,across_quadrants,left_diagonal
-0.0757232455,0.5948932981,0.4993032507,0.4868195969,0.5182479144,0.5437881682,0.5482391356,0.4993032507,90,-30,30,90,0,across_sides,top,across_quadrants,left_diagonal
1.116090223,1.4352134277,1.5605874971,1.7442825662,1.7999431764,1.8274308644,1.8322192673,1.5605874971,90,-30,-90,-90,0,left,across_verticals,across_quadrants,left_diagonal
-0.1750410346,-0.315453509,-0.3414594617,-0.2677350895,-0.2297946678,-0.2050034047,-0.2007492746,-0.3414594617,90,-30,5,0,1,across_sides,top,across_quadrants,left_diagonal
0.7188190668,0.5948932981,0.4993032507,0.4868195969,0.5182479144,0.5437881682,0.5482391356,0.4993032507,90,30,-30,-30,0,across_sides,across_verticals,across_quadrants,left_diagonal
-0.0757232455,-0.2454268315,-0.2511380368,-0.162301743,-0.1229686068,-0.09803318,-0.0937509303,-0.2511380368,90,30,0,0,1,across_sides,across_verticals,across_quadrants,left_diagonal
-0.8702655579,-1.0857469611,-0.9170277342,-0.7988734075,-0.7639413722,-0.7398545281,-0.7357409961,-0.9170277342,90,30,30,30,0,right,top,I,horizontal
-0.0426173158,-0.175400154,-0.2187164251,-0.1604901923,-0.1229566508,-0.09803318,-0.0937509303,-0.2187164251,90,30,0,-5,1,across_sides,across_verticals,across_quadrants,left_diagonal
-2.4593501826,-1.0857469611,-0.9170277342,-0.7988734075,-0.7639413722,-0.7398545281,-0.7357409961,-0.9170277342,90,30,90,90,0,right,top,I,vertical
1.116090223,1.4352134277,1.1780495896,0.8488368192,0.7020160498,0.5796261367,0.5482391356,1.1780495896,90,30,-30,-90,0,across_sides,across_verticals,across_quadrants,left_diagonal
-0.0757232455,0.5948932981,0.4993032507,0.4868195969,0.5182479144,0.5437881682,0.5482391356,0.4993032507,90,30,30,-90,0,across_sides,top,across_quadrants,left_diagonal
