model,subject,fold,score
cogmodel,paula,0,0.19960518783351067
nonmodel,paula,0,0.04053158700761377
cogmodel,paula,1,0.21346260733379094
nonmodel,paula,1,0.20638257235730234
cogmodel,paula,2,0.46540588865940563
nonmodel,paula,2,0.45239425775934844
cogmodel,paula,3,0.12908588551882774
nonmodel,paula,3,0.09485270206789531
cogmodel,paula,4,0.359155139932527
nonmodel,paula,4,0.10620796340818016
cogmodel,paula,0,0.24150855276865033
nonmodel,paula,0,0.07903345592553289
cogmodel,paula,1,0.3101841689581125
nonmodel,paula,1,0.09888423834227163
cogmodel,paula,2,0.29211898046220486
nonmodel,paula,2,0.2462515366208577
cogmodel,paula,3,0.27303492442762733
nonmodel,paula,3,0.08101434918145482
cogmodel,paula,4,0.1749114795026554
nonmodel,paula,4,0.15307980382999475
cogmodel,rex,0,0.22609473921509907
nonmodel,rex,0,0.1371977829013531
cogmodel,rex,1,0.08387385487011739
nonmodel,rex,1,-0.022431523630439838
cogmodel,rex,2,0.178440817486798
nonmodel,rex,2,0.12909983547133425
cogmodel,rex,3,0.03541664689124261
nonmodel,rex,3,-0.020234406110667277
cogmodel,rex,4,0.3523967252427586
nonmodel,rex,4,0.31559675053063163
cogmodel,rex,0,0.07050305996781277
nonmodel,rex,0,0.02071319546357682
cogmodel,rex,1,0.2007956163784521
nonmodel,rex,1,0.18528326919123253
cogmodel,rex,2,0.2585135448740645
nonmodel,rex,2,0.2549144571273895
cogmodel,rex,3,0.10166027889106362
nonmodel,rex,3,0.08980281926054504
cogmodel,rex,4,0.1912907361333425
nonmodel,rex,4,-0.026672309192413538
