model,subject,fold,score
cogmodel,paula,0,0.095426567
nonmodel,paula,0,-0.099651486
cogmodel,paula,1,0.158004137
nonmodel,paula,1,0.089272721
cogmodel,paula,2,0.171430966
nonmodel,paula,2,0.124461476
cogmodel,paula,3,0.065698755
nonmodel,paula,3,0.046732341
cogmodel,paula,4,0.080156427
nonmodel,paula,4,0.030156427
cogmodel,paula,0,0.277381778
nonmodel,paula,0,0.155011872
cogmodel,paula,1,0.114651913
nonmodel,paula,1,0.090674691
cogmodel,paula,2,0.271329757
nonmodel,paula,2,0.258639094
cogmodel,paula,3,0.278519545
nonmodel,paula,3,0.178519545
cogmodel,paula,4,-0.03328698
nonmodel,paula,4,-0.050408153
cogmodel,rex,0,0.323597048
nonmodel,rex,0,0.205294711
cogmodel,rex,1,0.138523028
nonmodel,rex,1,0.091776738
cogmodel,rex,2,0.333306215
nonmodel,rex,2,0.259720216
cogmodel,rex,3,0.052949929
nonmodel,rex,3,-0.075406468
cogmodel,rex,4,0.072408664
nonmodel,rex,4,0.062509737
cogmodel,rex,0,0.174924394
nonmodel,rex,0,0.113233253
cogmodel,rex,1,0.338397948
nonmodel,rex,1,0.254625113
cogmodel,rex,2,0.223059741
nonmodel,rex,2,0.112597276
cogmodel,rex,3,0.169643988
nonmodel,rex,3,0.083978714
cogmodel,rex,4,0.130425081
nonmodel,rex,4,0.092983408
