model,subject,fold,score
cogmodel,paula,0,0.080664768
nonmodel,paula,0,0.03959694
cogmodel,paula,1,0.198934197
nonmodel,paula,1,0.098934197
cogmodel,paula,2,0.128360488
nonmodel,paula,2,0.118269429
cogmodel,paula,3,0.25573503
nonmodel,paula,3,0.133591955
cogmodel,paula,4,0.165697536
nonmodel,paula,4,0.081685841
cogmodel,paula,0,0.182521179
nonmodel,paula,0,0.112521179
cogmodel,paula,1,0.150768724
nonmodel,paula,1,0.127711815
cogmodel,paula,2,0.177303896
nonmodel,paula,2,0.16243813
cogmodel,paula,3,0.129264733
nonmodel,paula,3,0.058384156
cogmodel,paula,4,0.1322874
nonmodel,paula,4,0.113514146
cogmodel,rex,0,0.219725702
nonmodel,rex,0,0.061351901
cogmodel,rex,1,0.098528515
nonmodel,rex,1,0.012472119
cogmodel,rex,2,0.532650032
nonmodel,rex,2,0.268620285
cogmodel,rex,3,-0.068003463
nonmodel,rex,3,-0.137797631
cogmodel,rex,4,0.152040532
nonmodel,rex,4,0.050785037
cogmodel,rex,0,0.233767374
nonmodel,rex,0,0.133767374
cogmodel,rex,1,0.282130814
nonmodel,rex,1,0.193391229
cogmodel,rex,2,0.544727867
nonmodel,rex,2,0.491463802
cogmodel,rex,3,0.173209585
nonmodel,rex,3,0.061456516
cogmodel,rex,4,0.119458734
nonmodel,rex,4,-0.013643054
