model,subject,fold,task,weight
model,paula,0,color,0.92
baseline,paula,0,color,0.7
model,paula,1,color,1
baseline,paula,1,color,1
model,paula,2,color,1
baseline,paula,2,color,1
model,paula,3,color,0.92
baseline,paula,3,color,0.8
model,paula,4,color,1
baseline,paula,4,color,1
model,paula,0,motion,1
baseline,paula,0,motion,0.92
model,paula,1,motion,1
baseline,paula,1,motion,0.92
model,paula,2,motion,1
baseline,paula,2,motion,1
model,paula,3,motion,0.92
baseline,paula,3,motion,0.82
model,paula,4,motion,1
baseline,paula,4,motion,1
model,rex,0,color,1
baseline,rex,0,color,0.6
model,rex,1,color,0.84
baseline,rex,1,color,0.52
model,rex,2,color,0.36
baseline,rex,2,color,0.32
model,rex,3,color,0.6
baseline,rex,3,color,0.6
model,rex,4,color,0.6
baseline,rex,4,color,0.58
model,rex,0,motion,0.65
baseline,rex,0,motion,1
model,rex,1,motion,0.82
baseline,rex,1,motion,1
model,rex,2,motion,0.8
baseline,rex,2,motion,0.6
model,rex,3,motion,0.86
baseline,rex,3,motion,0.75
model,rex,4,motion,0.74
baseline,rex,4,motion,0.64
