model,subject,fold,score
cogmodel,paula,0,0.149018313
nonmodel,paula,0,0.053574793
cogmodel,paula,1,0.130641305
nonmodel,paula,1,0.116440254
cogmodel,paula,2,0.116935477
nonmodel,paula,2,0.016935477
cogmodel,paula,3,0.208678151
nonmodel,paula,3,0.106466038
cogmodel,paula,4,0.089942319
nonmodel,paula,4,0.055338834
cogmodel,paula,0,0.142279231
nonmodel,paula,0,0.001262471
cogmodel,paula,1,0.134081474
nonmodel,paula,1,0.125172924
cogmodel,paula,2,0.222180894
nonmodel,paula,2,0.201915844
cogmodel,paula,3,0.297705936
nonmodel,paula,3,0.182793437
cogmodel,paula,4,0.14980854
nonmodel,paula,4,0.101179006
cogmodel,rex,0,0.165188363
nonmodel,rex,0,0.104561869
cogmodel,rex,1,-0.06266471
nonmodel,rex,1,-0.139360026
cogmodel,rex,2,0.305078486
nonmodel,rex,2,0.28037312
cogmodel,rex,3,0.233446465
nonmodel,rex,3,0.031115369
cogmodel,rex,4,0.228835021
nonmodel,rex,4,0.057607425
cogmodel,rex,0,0.181014584
nonmodel,rex,0,0.166213684
cogmodel,rex,1,0.188139849
nonmodel,rex,1,0.177496016
cogmodel,rex,2,0.170349845
nonmodel,rex,2,0.13367542
cogmodel,rex,3,0.198061426
nonmodel,rex,3,0.168306177
cogmodel,rex,4,0.37012014
nonmodel,rex,4,0.335928806
