model,subject,fold,score
cogmodel,paula,0,0.3280680080714359
nonmodel,paula,0,0.31847044074696906
cogmodel,paula,1,0.15157320895929355
nonmodel,paula,1,0.13882295236835948
cogmodel,paula,2,0.10056110529992858
nonmodel,paula,2,-0.004491884707090564
cogmodel,paula,3,0.35104490283552087
nonmodel,paula,3,-0.010671713667466713
cogmodel,paula,4,0.05611368395736582
nonmodel,paula,4,0.02833932851693938
cogmodel,paula,0,0.04481051863669576
nonmodel,paula,0,0.03290793796281566
cogmodel,paula,1,0.08117477363527949
nonmodel,paula,1,0.08117477363527949
cogmodel,paula,2,0.2967782645993733
nonmodel,paula,2,0.14144554343958005
cogmodel,paula,3,0.37289586537385755
nonmodel,paula,3,0.3488813372111226
cogmodel,paula,4,0.12074917749823162
nonmodel,paula,4,-0.033141112741722906
cogmodel,rex,0,0.2099443248926931
nonmodel,rex,0,0.11686572712314039
cogmodel,rex,1,0.12209115917615347
nonmodel,rex,1,-0.14834732243984242
cogmodel,rex,2,0.011523538321285692
nonmodel,rex,2,-0.10455787681895677
cogmodel,rex,3,0.13002635518473502
nonmodel,rex,3,-0.051440449867690856
cogmodel,rex,4,0.15540944589857897
nonmodel,rex,4,0.11372698780917959
cogmodel,rex,0,0.14948508951460227
nonmodel,rex,0,0.14948508951460227
cogmodel,rex,1,0.147442943482982
nonmodel,rex,1,-0.17101514339082716
cogmodel,rex,2,0.07392568634465303
nonmodel,rex,2,-0.0154327892961016
cogmodel,rex,3,0.12168272996982944
nonmodel,rex,3,-0.04317680181139956
cogmodel,rex,4,0.029552770429018754
nonmodel,rex,4,-0.2995828228386906
