model,subject,fold,task,weight
model,paula,0,color,0.04
baseline,paula,0,color,0.92
model,paula,1,color,0.04
baseline,paula,1,color,0.52
model,paula,2,color,0.04
baseline,paula,2,color,0.52
model,paula,3,color,0.04
baseline,paula,3,color,0.92
model,paula,4,color,0.04
baseline,paula,4,color,0.92
model,paula,0,motion,0.92
baseline,paula,0,motion,0.24
model,paula,1,motion,0.92
baseline,paula,1,motion,0.92
model,paula,2,motion,1.0
baseline,paula,2,motion,0.72
model,paula,3,motion,1.0
baseline,paula,3,motion,0.92
model,paula,4,motion,1.0
baseline,paula,4,motion,0.92
model,rex,0,color,0.12
baseline,rex,0,color,0.36
model,rex,1,color,0.2
baseline,rex,1,color,0.48
model,rex,2,color,0.0
baseline,rex,2,color,0.68
model,rex,3,color,0.04
baseline,rex,3,color,0.36
model,rex,4,color,0.04
baseline,rex,4,color,0.36
model,rex,0,motion,0.72
baseline,rex,0,motion,0.68
model,rex,1,motion,0.72
baseline,rex,1,motion,0.44
model,rex,2,motion,0.64
baseline,rex,2,motion,0.36
model,rex,3,motion,0.6
baseline,rex,3,motion,0.28
model,rex,4,motion,0.6
baseline,rex,4,motion,0.4
